Clase	Letra	Correspondencia	Transcripción	Forma	–1200	1201–1250	1251–1300	1301–1350	1351–1400	1401–1450	1451–1500	1501–1550	1551–1600
Word-medial vowel /i/	y	Fui(mos|ste)	fuyo	fuyo	1	0	11	60	354	116	52	1	33
Word-medial vowel /i/	y	Fui(mos|ste)	fuyosen	fuyosen	0	0	0	1	0	0	0	0	0
Word-medial vowel /i/	y	Fui(mos|ste)	fuyosse	fuyosse	0	1	2	0	0	0	0	0	0
Word-medial vowel /i/	y	Fui(mos|ste)	fuys	fuys	0	0	0	0	0	0	2	1	0
Word-medial vowel /i/	y	Fui(mos|ste)	fuyset	fuyset	1	0	0	0	0	0	0	0	0
Word-medial vowel /i/	y	Fui(mos|ste)	fuysse	fuysse	0	0	0	0	1	0	0	0	0
Word-medial vowel /i/	y	Fui(mos|ste)	fuysses	fuysses	0	0	0	0	0	1	0	0	0
Word-medial vowel /i/	y	Fui(mos|ste)	fuyste	fuyste	0	0	3	0	0	16	2	36	25
Word-medial vowel /i/	y	Fui(mos|ste)	fuystes	fuystes	3	0	0	5	0	2	12	109	19
Word-medial vowel /i/	uy	Fuisteis	fuysteys	fuysteys	0	0	0	0	0	0	0	1	1
Word-medial semivowel /j/ ending a diphthong	eys	Fuisteis	fuysteys	fuysteys	0	0	0	0	0	0	0	1	1
Word-medial vowel /i/	y	Fui(mos|ste)	fuyt	fuyt	0	0	1	1	1	5	4	0	0
Word-medial vowel /i/	y	Fui(mos|ste)	fuye	fuyé	0	1	0	0	0	1	0	0	0
Word-medial vowel /i/	y	Fui(mos|ste)	fuyen	fuyén	0	2	0	0	0	0	0	0	8
Word-medial vowel /i/	y	Fui(mos|ste)	fuyesemos	fuyésemos	0	0	0	0	0	0	1	0	0
Word-medial vowel /i/	y	Fui(mos|ste)	fuyo	fuyó	0	2	3	4	0	38	99	15	1
Word-medial semivowel /j/ ending a diphthong	i	Fue(r|s)(a|e)is	fuerais	fuérais	0	0	0	0	0	0	1	0	0
Word-final vowel /i/	i	Fui	fui	fuí	0	0	0	2	1	3	114	330	178
Word-medial vowel /i/	i	Fui(mos|ste)	fuime	fuíme	0	0	0	0	0	0	8	14	17
Word-medial vowel /i/	i	Fui(mos|ste)	fuimonos	fuímonos	0	0	0	0	0	0	0	10	7
Word-medial vowel /i/	i	Fui(mos|ste)	fuimos	fuímos	0	0	0	0	0	0	2	1	22
Word-medial vowel /i/	i	Fui(mos|ste)	fuis	fuís	0	0	0	0	0	0	2	1	0
Word-medial vowel /i/	ui	Fuisteis	fuisteis	fuísteis	0	0	0	0	0	0	2	2	2
Word-medial semivowel /j/ ending a diphthong	eis	Fuisteis	fuisteis	fuísteis	0	0	0	0	0	0	2	2	2
Word-medial vowel /i/	i	Fui(mos|ste)	fuistes	fuístes	0	0	0	0	0	0	2	0	0
Word-medial vowel /i/	i	Fui(mos|ste)	fuistesos	fuístesos	0	0	0	0	0	0	0	0	1
Word-medial vowel /i/	i	Fui(mos|ste)	fuistete	fuístete	0	0	0	0	0	0	0	0	1
Word-final vowel /i/	y	Fui	fuy	fuý	0	0	0	0	0	2	0	23	0
Word-medial vowel /i/	y	Fui(mos|ste)	fuyme	fuýme	0	0	0	0	0	0	0	1	0
Word-medial vowel /i/	y	Fui(mos|ste)	fuymonos	fuýmonos	0	0	0	0	0	0	0	4	0
Word-medial vowel /i/	y	Fui(mos|ste)	fuymos	fuýmos	0	0	0	0	0	2	0	0	1
Word-final vowel /i/	y	Fui	fvy	fvy	0	0	0	0	0	0	0	0	1
Word-final vowel /i/	i	Fui	fui	fúi	0	8	0	0	0	0	0	0	0
Word-medial vowel /i/	i	Fui(mos|ste)	fuistete	fúistete	0	0	0	0	0	0	0	0	1
Word-initial consonant /d͡ʒ/ or /ʃ/	g	Gentil…	gentil	gentil	0	1	5	4	67	245	193	1379	1026
Word-medial vowel /i/	i	Gentil…	gentil	gentil	0	1	5	4	67	245	193	1379	1026
Word-initial consonant /d͡ʒ/ or /ʃ/	g	Gentil…	genttil	genttil	0	0	0	0	0	0	0	1	0
Word-medial vowel /i/	i	Gentil…	genttil	genttil	0	0	0	0	0	0	0	1	0
Word-initial consonant /d͡ʒ/ or /ʃ/	g	Gentil…	gentyl	gentyl	0	0	0	0	0	2	0	0	0
Word-medial vowel /i/	y	Gentil…	gentyl	gentyl	0	0	0	0	0	2	0	0	0
Word-initial consonant /d͡ʒ/ or /ʃ/	g	Gentil…	gentil	gentíl	0	0	0	0	0	0	0	1	0
Word-medial vowel /i/	i	Gentil…	gentil	gentíl	0	0	0	0	0	0	0	1	0
Word-medial semivowel /j/ starting a diphthong	i	Guiomar	guiomar	guiomar	0	2	0	0	0	37	9	79	19
Word-medial semivowel /j/ starting a diphthong	j	Guiomar	gujomar	gujomar	0	0	0	0	0	0	0	3	0
Word-medial semivowel /j/ ending a diphthong	i	Habeis	habeis	habeis	0	0	1	0	0	0	220	168	335
Word-medial semivowel /j/ ending a diphthong	y	Habeis	habeys	habeys	0	0	3	0	0	0	1	27	0
